Nom image;V3;V2;V1;delta V2-V1;delta V3-V1;delta V3-V2;;;moyenne In;moyenne Sc;;V4 ;V5 ;V6 filtre avant top;V7 filtre apres top;;;V8;V309
In_1 ;67,96;58,76;57,67;1,09;10,29;9,2;;V1;38,74973333;34,28193333;;62,14;67,96;67,48;63,93;;;67,96;67,96
In_2 ;67,99;54,61;54,61;0;13,38;13,38;;V2;45,0088;15,27856667;;63,13;67,99;69,79;66,71;;;67,99;67,99
In_3 ;62,34;60,85;59,37;1,48;2,97;1,49;;V3;51,9352;50,51113333;;54,02;62,34;66,11;59,01;;;62,34;62,34
In_4 ;51,58;44,26;44,26;0;7,32;7,32;;V4;37,08296667;67,8823;;58,89;51,58;51,34;51,21;;;51,58;51,58
In_5 ;67,08;61,62;59,67;1,95;7,41;5,46;;V5;51,90873754;67,8823;;62,4;67,08;67,59;63,85;;;67,08;67,08
In_6 ;66,81;62,1;60,8;1,3;6,01;4,71;;V6;37,51666667;66,84436667;;58,31;66,81;64,44;61;;;66,81;66,81
In_7 ;63,74;70,19;68,21;1,98;-4,47;-6,45;;V7;46,5688;67,46923333;;51,12;63,74;68,17;56,96;;;63,74;63,74
In_8 ;58,38;72,61;72,61;0;-14,23;-14,23;;V8;51,9352;67,8823;;11,83;58,38;62,22;53,23;;;58,38;58,38
In_9 ;60,29;57,38;55,74;1,64;4,55;2,91;;V309;53,71483333;68,58176667;;64,67;60,29;60,36;60,06;;;60,29;60,29
In_10 ;67,66;56,61;55,75;0,86;11,91;11,05;;;;;;63,35;67,66;67,5;63,96;;;67,66;67,66
In_11 ;70,15;68,09;54,62;13,47;15,53;2,06;;61,1483;moyenne;;;51,13;70,15;0;68,8;;;70,15;70,15
In_12 ;80,48;68,51;49,83;18,68;30,65;11,97;;22,53692262;ecart type;;;73,1;80,48;77,33;77,44;;;80,48;80,48
In_13 ;84,75;23,68;68,25;-44,57;16,5;61,07;;65,595;median;;;81,88;84,75;85,12;83,09;;;84,75;84,75
In_14 ;69,92;73,87;40,21;33,66;29,71;-3,95;;0,72;min;;;32,2;69,92;0;71,93;;;69,92;69,92
In_15 ;81,16;71,03;63,2;7,83;17,96;10,13;;97,16;max;;;77,07;81,16;82,16;80;;;81,16;81,16
In_16 ;69,25;0;60,08;-60,08;9,17;69,25;;;;;;57,8;69,25;60,1;70,18;;;69,25;69,25
In_17 ;65,64;65,42;44,12;21,3;21,52;0,22;;;;;;45,72;65,64;73,48;65,75;;;65,64;65,64
In_18 ;68,81;68,67;51,89;16,78;16,92;0,14;;;;;;62,76;68,81;66,85;65,33;;;68,81;68,81
In_19 ;50,67;55,44;26,21;29,23;24,46;-4,77;;;;;;0;50,67;52,2;45,06;;;50,67;50,67
In_20 ;68,93;10,9;35,43;-24,53;33,5;58,03;;;;;;56,02;68,93;0;64,72;;;68,93;68,93
In_21 ;61,8;26,11;43,54;-17,43;18,26;35,69;;;;;;69,56;61,8;0;62,99;;;61,8;61,8
In_22 ;71,45;41,18;46;-4,82;25,45;30,27;;;;;;54,74;71,45;0;61,04;;;71,45;71,45
In_23 ;78,44;3,43;49,48;-46,05;28,96;75,01;;;;;;68,83;78,44;0;5,95;;;78,44;78,44
In_24 ;73,31;68,23;43,07;25,16;30,24;5,08;;;;;;23,54;73,31;0;26,38;;;73,31;73,31
In_25 ;74,43;35,99;50,49;-14,5;23,94;38,44;;;;;;24,54;74,43;0;73,27;;;74,43;74,43
In_26 ;23,2;52,47;18,03;34,44;5,17;-29,27;;;;;;0;23,2;41,93;21,07;;;23,2;23,2
In_27 ;61,07;80,22;21,07;59,15;40;-19,15;;;;;;44,77;61,07;62,18;52,83;;;61,07;61,07
In_28 ;69,62;7,78;42,41;-34,63;27,21;61,84;;;;;;12,82;69,62;69,92;42,29;;;69,62;69,62
In_29 ;51,4;42,47;48,04;-5,57;3,36;8,93;;;;;;7,82;51,4;59,57;54,8;;;51,4;51,4
In_30 ;60,53;0;37,1;-37,1;23,43;60,53;;;;;;40,31;60,53;0;50,31;;;60,53;60,53
In_31 ;50,21;41,59;43,03;-1,44;7,18;8,62;;;;;;39,09;50,21;52,35;44,67;;;50,21;50,21
In_32 ;62,02;0;33,16;-33,16;28,86;62,02;;;;;;58,46;62,02;0;60,31;;;62,02;62,02
In_33 ;68,13;0;42,35;-42,35;25,78;68,13;;;;;;71,55;68,13;0;68,95;;;68,13;68,13
In_34 ;60,89;73,55;16,45;57,1;44,44;-12,66;;;;;;0;60,89;0;57,31;;;60,89;60,89
In_35 ;59,56;4,15;53,64;-49,49;5,92;55,41;;;;;;54,5;59,56;0;56,18;;;59,56;59,56
In_36 ;46,6;3,64;27,68;-24,04;18,92;42,96;;;;;;62,57;46,6;0;51,51;;;46,6;46,6
In_37 ;57,37;26,39;40,46;-14,07;16,91;30,98;;;;;;71,6;57,37;0;66,45;;;57,37;57,37
In_38 ;48,17;16,02;42,7;-26,68;5,47;32,15;;;;;;64,91;48,17;0;47,57;;;48,17;48,17
In_39 ;60,58;66,68;40,38;26,3;20,2;-6,1;;;;;;27,97;60,58;0;48,85;;;60,58;60,58
In_40 ;42,57;15,23;41,91;-26,68;0,66;27,34;;;;;;36,78;42,57;42,6;40,78;;;42,57;42,57
In_41 ;62,52;26,36;28,65;-2,29;33,87;36,16;;;;;;67,84;62,52;0;0;;;62,52;62,52
In_42 ;0;55,31;3,5;51,81;-3,5;-55,31;;;;;;0;0;0;0;;;0;2,48
In_43 ;69,6;75,36;20,7;54,66;48,9;-5,76;;;;;;58,13;69,6;71,97;67,43;;;69,6;69,6
In_44 ;40,04;39,1;43,75;-4,65;-3,71;0,94;;;;;;33,69;40,04;43,37;37,45;;;40,04;40,04
In_45 ;70,86;71,08;30,74;40,34;40,12;-0,22;;;;;;31,62;70,86;0;62,53;;;70,86;70,86
In_46 ;72,88;43,61;54,79;-11,18;18,09;29,27;;;;;;30,69;72,88;0;15,07;;;72,88;72,88
In_47 ;76,25;60,08;52,32;7,76;23,93;16,17;;;;;;60,49;76,25;0;78,54;;;76,25;76,25
In_48 ;69,61;14,94;38,82;-23,88;30,79;54,67;;;;;;41,68;69,61;0;60,47;;;69,61;69,61
In_49 ;0;50,25;59,54;-9,29;-59,54;-50,25;;;;;;51,16;0;0;63,08;;;0;60,37
In_50 ;0;72,58;50,15;22,43;-50,15;-72,58;;;;;;0;0;0;0;;;0;46,39
In_51 ;47,64;73,13;22,27;50,86;25,37;-25,49;;;;;;0;47,64;0;46,94;;;47,64;47,64
In_52 ;50,92;73,82;30,74;43,08;20,18;-22,9;;;;;;0;50,92;0;45,36;;;50,92;50,92
In_53 ;0;69,2;19,63;49,57;-19,63;-69,2;;;;;;0;0;0;0;;;0;13,65
In_54 ;22,47;25,88;24,91;0,97;-2,44;-3,41;;;;;;0;22,47;0;0;;;22,47;22,47
In_55 ;64,58;76,11;50,26;25,85;14,32;-11,53;;;;;;54,11;64,58;75,3;61,27;;;64,58;64,58
In_56 ;63,17;73,34;37,17;36,17;26;-10,17;;;;;;52,93;63,17;71,17;59,75;;;63,17;63,17
